Date,Open,High,Low,Close,Volume
04-10-2023,314.03,320.04,314,318.955,20720144
05-10-2023,319.09,319.98,314.9,319.36,16965629
06-10-2023,316.55,329.19,316.3,327.26,25673630
09-10-2023,324.75,330.3,323.18,329.82,19891180
10-10-2023,330.96,331.1,327.67,328.39,20557094
11-10-2023,331.21,332.82,329.14,332.42,20063246
12-10-2023,330.565,333.6299,328.72,331.16,19313098
13-10-2023,332.38,333.83,326.36,327.73,21085695
16-10-2023,331.05,336.14,330.6,332.64,22158048
17-10-2023,329.59,333.46,327.41,332.06,18338523
18-10-2023,332.49,335.59,328.3,330.11,23153602
19-10-2023,332.15,336.88,330.91,331.32,25052071
20-10-2023,331.72,331.92,325.45,326.67,25027715
23-10-2023,325.47,332.725,324.39,329.32,24374748
24-10-2023,331.3,331.84,327.6,330.53,31153571
25-10-2023,345.02,346.2,337.62,340.67,55053828
26-10-2023,340.54,341.63,326.94,327.89,37828543
27-10-2023,330.425,336.72,328.4007,329.81,29856522
30-10-2023,333.41,339.45,331.83,337.31,22828082
31-10-2023,338.85,339,334.69,338.11,20265282
01-11-2023,339.79,347.42,339.65,346.07,28158819
02-11-2023,347.24,348.83,344.77,348.32,24348072
03-11-2023,349.63,354.39,347.33,352.8,23637673
06-11-2023,353.45,357.54,353.35,356.53,23828301
07-11-2023,359.4,362.46,357.63,360.53,25833931
08-11-2023,361.68,363.87,360.55,363.2,26767828
09-11-2023,362.3,364.79,360.362,360.69,24847331
10-11-2023,361.49,370.1,361.07,369.67,28065164
13-11-2023,368.22,368.47,365.9,366.68,19986506
14-11-2023,371.01,371.95,367.3454,370.27,27683862
15-11-2023,371.28,373.13,367.11,369.67,26860095
16-11-2023,370.96,376.35,370.18,376.17,27182315
17-11-2023,373.61,374.37,367,369.85,40325371
20-11-2023,371.22,378.87,371,377.44,52528964
21-11-2023,375.67,376.2215,371.12,373.07,28423145
22-11-2023,378,379.7899,374.965,377.85,23361184
24-11-2023,377.33,377.97,375.135,377.43,10176649
27-11-2023,376.78,380.64,376.2,378.61,22179228
28-11-2023,378.35,383,378.16,382.7,20453112
29-11-2023,383.76,384.3,377.44,378.85,28963399
30-11-2023,378.49,380.09,375.47,378.91,30554415
01-12-2023,376.76,378.16,371.31,374.51,33040472
04-12-2023,369.1,369.52,362.9,369.14,32063305
05-12-2023,366.45,373.075,365.621,372.52,23065035
06-12-2023,373.54,374.18,368.03,368.8,21118348
07-12-2023,368.23,371.4527,366.32,370.95,23118864
08-12-2023,369.2,374.46,368.23,374.23,20154366
11-12-2023,368.48,371.6,366.1,371.3,27708757
12-12-2023,370.85,374.42,370.46,374.38,24838253
13-12-2023,376.02,377.6361,370.77,374.37,30955531
14-12-2023,373.31,373.76,364.13,365.93,43277461
15-12-2023,366.85,372.4,366.28,370.73,78502324
18-12-2023,369.45,373,368.68,372.65,21802878
19-12-2023,371.49,373.26,369.84,373.26,20533284
20-12-2023,375,376.03,370.53,370.62,26316650
21-12-2023,372.56,374.41,370.04,373.54,17708006
22-12-2023,373.68,375.18,372.71,374.58,17107484
26-12-2023,375,376.94,373.5,374.66,12673050
27-12-2023,373.69,375.06,372.8116,374.07,14872756
28-12-2023,375.37,376.458,374.16,375.28,14327013
29-12-2023,376,377.16,373.48,376.04,18730838
